ticker,error_type,error_message,timestamp,retry_count
CMCO,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:08:31.960540,1
MLACR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:08:31.992361,1
SVRN,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:08:32.019361,1
FIGR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:08:32.049012,1
TSLS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:08:36.012624,1
AUB,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:08:36.036276,1
METCB,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:08:36.064270,1
TRNR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:08:36.104270,1
FCRX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:16:24.106025,1
GTBP,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:16:24.144610,1
TRAK,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:16:24.168614,1
MRAL,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:16:24.198339,1
UK,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:16:28.151006,1
MYD,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:16:28.186503,1
AIPO,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:16:28.220944,1
NMS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:16:28.249959,1
VRTL,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:24:14.053974,1
TGNA,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:24:14.083612,1
NCIQ,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:24:14.114427,1
FBRT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:24:14.473640,1
NYT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:24:18.090125,1
NCTY,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:24:18.113823,1
PMTW,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:24:18.164977,1
EFAS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:32:04.855439,1
GNT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:32:04.895526,1
AACBU,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:32:04.941056,1
BFRIW,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:32:04.994536,1
LSTR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:32:08.907824,1
PRTH,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:32:08.934652,1
INSG,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:32:08.970999,1
NWGL,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:32:09.019000,1
CERT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:17:53.386261,1
QBIG,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:17:53.791229,1
LOTWW,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:17:53.797167,1
CLVT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:17:53.823171,1
ABCS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:17:57.454929,1
NBR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:20:36.020543,1
HDL,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:20:36.060872,1
QS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:20:36.406150,1
MENS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:20:36.409152,1
MIND,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:20:40.083772,1
BGSF,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:20:40.115768,1
OM,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:24:46.118491,1
ANL,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:24:46.242980,1
FGBI,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:24:46.478383,1
GPIX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:24:46.499579,1
SDVY,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:24:50.225049,1
HYTR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:24:50.312878,1
VSNT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:24:50.554200,1
IPDN,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:27:26.129989,1
TSCM,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:27:26.220155,1
TEO,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:27:26.245680,1
NDAA,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:27:26.477867,1
NVDS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:27:30.193923,1
TRTX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:27:30.271914,1
ALG,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:27:30.299238,1
IVA,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:34:55.067694,1
BSJR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:34:55.075690,1
OSRH,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:34:55.102194,1
AAL,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:34:55.207235,1
ECBK,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:34:59.134153,1
BNH,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:34:59.158215,1
WETO,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:34:59.185194,1
LNZA,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:34:59.234677,1
PODC,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:42:20.877127,1
DYORW,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:42:20.908279,1
KNX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:42:20.970880,1
TRC,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:42:21.097015,1
UNIY,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:42:24.931142,1
TW,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:42:24.969923,1
CLGN,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:42:25.016064,1
UTZ,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:42:25.190466,1
NTRA,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:49:43.169945,1
SGP,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:49:43.391481,1
CBAN,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:49:43.513458,1
WENNU,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:49:43.525389,1
INSG,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:49:47.259931,2
GRND,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:49:47.461762,1
AOD,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:49:47.572386,1
CSCL,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:57:04.502652,1
CINGW,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:57:04.510653,1
SMH,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:57:04.566975,1
PAGP,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:57:04.572974,1
WINA,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:57:08.565958,1
BDN,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:57:08.586900,1
FEBO,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:57:08.641051,1
PHIO,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T08:57:08.678469,1
COKE,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T09:04:24.006471,1
FT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T09:04:24.032073,1
PYXS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T09:04:24.244311,1
DSYWW,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T09:04:24.377091,1
BTGD,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T09:04:28.072498,1
MLTX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T09:04:28.108546,1
PMTRW,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-03-03T09:04:28.310240,1
